Date, Open, High, Low, Close
11/09/20, 24568.84, 24962.80, 24541.28, 24839.84
11/06/20, 24076.22, 24389.00, 24039.16, 24325.23
11/05/20, 23776.20, 24112.42, 23756.78, 24105.28
11/04/20, 23619.58, 23801.88, 23505.78, 23695.23
11/02/20, 23110.74, 23370.91, 23096.79, 23295.48
10/30/20, 23320.71, 23320.71, 22948.47, 22977.13
10/29/20, 23170.76, 23374.10, 23170.76, 23331.94
10/28/20, 23372.61, 23451.03, 23334.23, 23418.51
10/27/20, 23376.96, 23485.80, 23232.31, 23485.80
10/26/20, 23520.78, 23572.60, 23475.52, 23494.34
10/23/20, 23558.71, 23587.90, 23469.13, 23516.59
10/22/20, 23525.59, 23555.78, 23436.17, 23474.27
10/21/20, 23615.52, 23702.30, 23611.33, 23639.46
10/20/20, 23587.87, 23674.87, 23518.29, 23567.04
10/19/20, 23543.69, 23707.16, 23543.69, 23671.13
10/16/20, 23478.40, 23538.74, 23382.67, 23410.63
10/15/20, 23548.45, 23581.16, 23458.43, 23507.23
10/14/20, 23545.66, 23656.70, 23518.81, 23626.73
10/13/20, 23667.90, 23667.90, 23490.95, 23601.78
10/12/20, 23588.74, 23597.91, 23501.26, 23558.69
10/09/20, 23713.86, 23725.58, 23552.73, 23619.69
10/08/20, 23506.34, 23701.77, 23477.73, 23647.07
10/07/20, 23272.45, 23432.73, 23272.45, 23422.82
10/06/20, 23420.07, 23441.16, 23331.40, 23433.73
10/05/20, 23254.28, 23377.43, 23252.69, 23312.14
10/02/20, 23294.80, 23365.58, 22951.41, 23029.90
10/01/20, 23184.93, 23184.93, 23184.93, 23184.93
09/30/20, 23478.85, 23522.38, 23170.89, 23185.12
09/29/20, 23410.50, 23622.74, 23347.64, 23539.10
09/28/20, 23391.96, 23516.04, 23303.03, 23511.62
09/25/20, 23217.33, 23272.67, 23154.66, 23204.62
09/24/20, 23215.00, 23234.72, 23039.48, 23087.82
09/23/20, 23245.89, 23370.13, 23154.45, 23346.49
09/18/20, 23321.19, 23398.46, 23290.19, 23360.30
09/17/20, 23416.62, 23446.39, 23272.23, 23319.37
09/16/20, 23425.23, 23506.45, 23397.43, 23475.53
09/15/20, 23438.83, 23477.86, 23351.35, 23454.89
09/14/20, 23431.16, 23582.21, 23429.42, 23559.30
09/11/20, 23114.63, 23412.93, 23114.63, 23406.49
09/10/20, 23193.47, 23250.31, 23134.02, 23235.47
09/09/20, 22966.89, 23059.02, 22878.71, 23032.54
09/08/20, 23188.79, 23277.66, 23129.66, 23274.13
09/07/20, 23145.47, 23218.22, 23086.89, 23089.95
09/04/20, 23130.32, 23257.69, 23098.77, 23205.43
09/03/20, 23524.49, 23580.51, 23426.11, 23465.53
09/02/20, 23261.09, 23287.40, 23170.82, 23247.15
09/01/20, 23089.63, 23206.66, 23047.77, 23138.07
08/31/20, 23147.14, 23342.32, 23102.61, 23139.76
08/28/20, 23232.30, 23376.13, 22594.79, 22882.65
08/27/20, 23311.04, 23323.07, 23177.85, 23208.86
08/26/20, 23257.05, 23348.80, 23203.00, 23290.86
08/25/20, 23242.74, 23431.04, 23225.39, 23296.77
08/24/20, 22913.20, 23012.71, 22862.54, 22985.51
08/21/20, 23022.76, 23135.43, 22920.30, 22920.30
08/20/20, 23003.58, 23078.36, 22851.83, 22880.62
08/19/20, 22997.93, 23149.85, 22953.60, 23110.61
08/18/20, 23097.80, 23128.18, 22948.89, 23051.08
08/17/20, 23189.48, 23248.75, 23068.53, 23096.75
08/14/20, 23323.92, 23338.79, 23222.85, 23289.36
08/13/20, 23123.36, 23316.69, 23111.50, 23249.61
08/12/20, 22747.44, 22874.37, 22670.74, 22843.96
08/11/20, 22505.51, 22760.87, 22497.07, 22750.24
08/07/20, 22433.78, 22436.16, 22204.61, 22329.94
08/06/20, 22471.71, 22587.75, 22362.89, 22418.15
08/05/20, 22479.72, 22554.20, 22356.25, 22514.85
