Date, Open, High, Low, Close
11/19/20, 16529.65, 16529.65, 16529.65, 16529.65
11/18/20, 16358.60, 16358.60, 16358.60, 16358.60
11/17/20, 16307.21, 16307.21, 16307.21, 16307.21
11/16/20, 16290.82, 16290.82, 16290.82, 16290.82
11/13/20, 16116.81, 16116.81, 16116.81, 16116.81
11/12/20, 16398.34, 16398.34, 16398.34, 16398.34
11/11/20, 16458.96, 16458.96, 16458.96, 16458.96
11/10/20, 16526.91, 16526.91, 16526.91, 16526.91
11/09/20, 16563.48, 16563.48, 16563.48, 16563.48
11/06/20, 16299.22, 16299.22, 16299.22, 16299.22
11/05/20, 16314.09, 16314.09, 16314.09, 16314.09
11/04/20, 16144.49, 16144.49, 16144.49, 16144.49
11/03/20, 15962.43, 15962.43, 15962.43, 15962.43
11/02/20, 15771.04, 15771.04, 15771.04, 15771.04
10/30/20, 15724.42, 15724.42, 15724.42, 15724.42
10/29/20, 15936.07, 15936.07, 15936.07, 15936.07
10/28/20, 15829.56, 15829.56, 15829.56, 15829.56
10/27/20, 15743.81, 15743.81, 15743.81, 15743.81
10/26/20, 15794.61, 15794.61, 15794.61, 15794.61
10/23/20, 15941.14, 15941.14, 15941.14, 15941.14
10/22/20, 16056.34, 16056.34, 16056.34, 16056.34
10/21/20, 16066.94, 16066.94, 16066.94, 16066.94
10/20/20, 15997.85, 15997.85, 15997.85, 15997.85
10/19/20, 15911.51, 15911.51, 15911.51, 15911.51
10/16/20, 15984.49, 15984.49, 15984.49, 15984.49
10/15/20, 15939.11, 15939.11, 15939.11, 15939.11
10/14/20, 15921.36, 15921.36, 15921.36, 15921.36
10/13/20, 15973.02, 15973.02, 15973.02, 15973.02
10/12/20, 15940.15, 15940.15, 15940.15, 15940.15
10/09/20, 15454.99, 15454.99, 15454.99, 15454.99
10/08/20, 15209.27, 15209.27, 15209.27, 15209.27
10/07/20, 15209.27, 15209.27, 15209.27, 15209.27
10/06/20, 15209.27, 15209.27, 15209.27, 15209.27
10/05/20, 15209.27, 15209.27, 15209.27, 15209.27
10/02/20, 15209.27, 15209.27, 15209.27, 15209.27
10/01/20, 15209.27, 15209.27, 15209.27, 15209.27
09/30/20, 15209.27, 15209.27, 15209.27, 15209.27
09/29/20, 15189.88, 15189.88, 15189.88, 15189.88
09/28/20, 15231.64, 15231.64, 15231.64, 15231.64
09/25/20, 15126.81, 15126.81, 15126.81, 15126.81
09/24/20, 15104.05, 15104.05, 15104.05, 15104.05
09/23/20, 15361.27, 15361.27, 15361.27, 15361.27
09/22/20, 15356.22, 15356.22, 15356.22, 15356.22
09/21/20, 15503.77, 15503.77, 15503.77, 15503.77
09/18/20, 15678.89, 15678.89, 15678.89, 15678.89
09/17/20, 15276.51, 15276.51, 15276.51, 15276.51
09/16/20, 15446.87, 15446.87, 15446.87, 15446.87
09/15/20, 15575.70, 15575.70, 15575.70, 15575.70
09/14/20, 15475.88, 15475.88, 15475.88, 15475.88
09/11/20, 15354.58, 15354.58, 15354.58, 15354.58
09/10/20, 15269.12, 15269.12, 15269.12, 15269.12
